id,relayid,sensorid,update_time,processed_status,start_index,end_index,index_len,width,peakvalue,other_peak,other_var
225,2,10,2017/07/18 16:16:18,0,96,293,2,129,18722,9501,945
226,2,10,2017/07/18 16:16:21,0,96,353,2,196,24183,13696,973
227,2,10,2017/07/18 16:16:25,0,96,377,2,211,25313,18211,986
228,2,10,2017/07/18 16:16:29,0,96,330,2,174,26405,10157,939
229,2,10,2017/07/18 16:16:33,0,95,276,2,152,4396,1412,451
230,2,10,2017/07/18 16:16:37,0,96,263,2,138,4831,1497,454
231,2,10,2017/07/18 16:16:41,0,96,399,3,274,22400,5481,840
232,2,10,2017/07/18 16:16:44,0,96,383,3,204,23673,5899,801
233,2,10,2017/07/18 16:16:48,0,87,212,2,99,7506,2221,653
234,2,10,2017/07/18 16:16:52,0,96,305,2,135,21700,5630,894
235,2,10,2017/07/18 16:16:56,0,94,266,3,147,21952,6653,812
236,2,10,2017/07/18 16:17:00,0,96,193,2,63,29477,12355,1096
237,2,10,2017/07/18 16:17:03,0,96,192,3,79,30531,20392,1079
238,2,10,2017/07/18 16:17:07,0,96,462,3,344,16910,8228,698
239,2,10,2017/07/18 16:17:11,0,96,238,2,121,3428,1823,584
240,2,10,2017/07/18 16:17:15,0,96,241,2,79,16361,14350,1005
241,2,10,2017/07/18 16:17:19,0,96,283,2,106,21643,13036,1078
242,2,10,2017/07/18 16:17:22,0,96,244,2,122,10089,5697,740
243,2,10,2017/07/18 16:17:26,0,96,268,2,98,22302,18116,1011
244,2,10,2017/07/18 16:17:30,0,95,362,2,184,23777,28675,952
245,2,10,2017/07/18 16:17:34,0,96,347,2,178,21390,18738,863
246,2,10,2017/07/18 16:17:38,0,96,290,2,155,11755,6743,809
247,2,10,2017/07/18 16:17:41,0,96,284,2,118,23834,10908,1009
248,2,10,2017/07/18 16:17:45,0,96,358,2,216,14018,3140,652
249,2,10,2017/07/18 16:17:49,0,95,229,2,83,20897,8707,980
250,2,10,2017/07/18 16:17:53,0,96,307,2,136,18887,8374,885
251,2,10,2017/07/18 16:17:57,0,96,279,2,150,7942,3245,714
252,2,10,2017/07/18 16:18:01,0,95,324,2,193,3700,1522,454
253,2,10,2017/07/18 16:18:04,0,96,310,2,141,22818,8757,956
254,2,10,2017/07/18 16:18:08,0,95,267,2,147,4771,1521,549
255,2,10,2017/07/18 16:18:12,0,96,294,2,125,22207,11035,1041
256,2,10,2017/07/18 16:18:16,0,96,473,3,344,21992,12128,839
257,2,10,2017/07/18 16:18:20,0,95,239,3,131,1679,1483,535
258,2,10,2017/07/18 16:18:23,0,95,393,4,262,4998,2797,675
259,2,10,2017/07/18 16:18:27,0,96,306,2,137,23652,8666,952
260,2,10,2017/07/18 16:18:31,0,96,241,3,123,5802,4070,737
261,2,10,2017/07/18 16:18:35,0,96,383,2,202,28378,11364,1049
262,2,10,2017/07/18 16:18:39,0,96,217,2,96,12361,3805,765
263,2,10,2017/07/18 16:18:46,0,96,279,3,140,14063,3144,629
264,2,10,2017/07/18 16:18:50,0,96,356,2,245,3155,1464,496
265,2,10,2017/07/18 16:18:54,0,96,265,2,104,26226,9006,1067
266,2,10,2017/07/18 16:18:58,0,96,260,3,126,21721,15659,1035
267,2,10,2017/07/18 16:19:01,0,96,272,2,111,23442,8487,915
268,2,10,2017/07/18 16:19:05,0,96,310,2,146,21111,6902,815
269,2,10,2017/07/18 16:19:09,0,96,367,3,238,2221,1887,471
270,2,10,2017/07/18 16:19:13,0,96,287,2,125,21843,11206,910
271,2,10,2017/07/18 16:19:17,0,95,245,2,95,20082,7764,886
272,2,10,2017/07/18 16:19:21,0,95,345,3,124,23209,11947,992
273,2,10,2017/07/18 16:19:24,0,69,316,4,195,8429,2714,596
274,2,10,2017/07/18 16:19:28,0,95,196,2,75,5776,1881,615
275,2,10,2017/07/18 16:19:32,0,95,263,2,125,11258,3768,812
276,2,10,2017/07/18 16:19:36,0,96,223,2,80,17959,8611,945
277,2,10,2017/07/18 16:19:40,0,96,251,2,78,24513,11398,1118
278,2,10,2017/07/18 16:19:43,0,96,269,2,114,11706,7775,825
279,2,10,2017/07/18 16:19:47,0,96,408,2,227,18072,5919,788
280,2,10,2017/07/18 16:19:51,0,96,317,2,144,19792,6943,908
281,2,10,2017/07/18 16:19:55,0,95,241,2,107,15495,8454,902
282,2,10,2017/07/18 16:19:59,0,95,497,2,298,36856,28062,1253
283,2,10,2017/07/18 16:20:02,0,96,270,2,105,13635,5387,840
284,2,10,2017/07/18 16:20:06,0,96,272,2,123,23525,12607,1102
285,2,10,2017/07/18 16:20:10,0,96,300,2,131,24110,6063,867
286,2,10,2017/07/18 16:20:14,0,96,263,3,130,21234,8019,886
287,2,10,2017/07/18 16:20:18,0,95,264,4,137,5700,2872,584
288,2,10,2017/07/18 16:20:21,0,96,265,2,124,10211,4357,785
289,2,10,2017/07/18 16:20:25,0,96,536,3,150,2690,1442,543
290,2,10,2017/07/18 16:20:29,0,95,434,3,292,4131,1781,576
291,2,10,2017/07/18 16:20:33,0,95,312,3,155,17562,7692,817
292,2,10,2017/07/18 16:20:37,0,96,261,2,97,15098,9334,942
293,2,10,2017/07/18 16:20:41,0,96,291,2,128,19720,8894,1003
294,2,10,2017/07/18 16:20:44,0,85,238,4,123,5121,1947,598
295,2,10,2017/07/18 16:20:48,0,96,250,2,118,14984,9351,832
296,2,10,2017/07/18 16:20:52,0,92,291,3,150,10806,2577,629
297,2,10,2017/07/18 16:20:56,0,95,384,2,85,1906,1491,469
298,2,10,2017/07/18 16:21:00,0,96,346,3,145,23508,9435,977
299,2,10,2017/07/18 16:21:03,0,96,530,3,344,36828,20983,1298
300,2,10,2017/07/18 16:21:07,0,96,271,3,148,5229,1898,566
301,2,10,2017/07/18 16:21:11,0,97,283,3,198,2450,1404,526
302,2,9,2017/07/18 16:23:14,0,96,275,2,125,16177,3867,805
303,2,9,2017/07/18 16:23:18,0,95,246,2,103,13478,2761,566
304,2,9,2017/07/18 16:23:21,0,96,250,2,121,7127,4336,697
305,2,9,2017/07/18 16:23:25,0,96,267,2,125,9232,4251,774
306,2,9,2017/07/18 16:23:29,0,86,247,2,134,5072,1835,232
307,2,9,2017/07/18 16:23:33,0,88,190,2,84,4718,3196,278
308,2,9,2017/07/18 16:23:37,0,95,231,2,91,9718,4989,874
